Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Timestep,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward
0,0,19,1,24,1.1455215215682983,10,1,24,1.1455215215682983,4,25,1.0762982368469238
0,1,24,0,348,0.9951280355453491,10,1,349,1.1326086521148682,0,348,0.9951280355453491
0,2,348,6,347,0.7192162275314331,10,6,347,0.7192162275314331
0,3,347,6,83,1.1264734268188477,10,4,82,1.1106057167053223,6,83,1.1264734268188477
0,4,83,6,77,1.3953170776367188,10,2,76,1.4007564783096313,4,78,1.4198148250579834,6,77,1.3953170776367188
0,5,77,6,75,1.1357810497283936,10,6,75,1.1357810497283936,0,74,1.047574520111084
0,6,75,6,310,1.1000347137451172,10,4,309,1.1221867799758911,6,310,1.1000347137451172
0,7,310,6,237,1.1398954391479492,10,6,237,1.1398954391479492,0,236,1.0736974477767944
0,8,237,6,233,1.1482858657836914,10,4,232,1.1117043495178223,6,233,1.1482858657836914
0,9,233,6,234,1.073162317276001,10,3,235,1.0749043226242065,6,234,1.073162317276001
0,10,234,7,200,0.6783682107925415,10,7,200,0.6783682107925415
0,11,200,7,208,1.1223478317260742,10,1,209,1.1979656219482422,7,208,1.1223478317260742
0,12,208,7,145,1.0666557550430298,10,1,144,1.1465344429016113,7,145,1.0666557550430298
0,13,145,7,146,1.1023085117340088,10,5,147,1.1167449951171875,7,146,1.1023085117340088
0,14,146,7,148,0.6932165622711182,10,7,148,0.6932165622711182
0,15,148,7,227,0.7008936405181885,10,7,227,0.7008936405181885
0,16,227,7,151,1.3697047233581543,10,1,149,1.4747072458267212,5,150,1.3638179302215576,7,151,1.3697047233581543
0,17,151,7,152,0.7010287642478943,10,7,152,0.7010287642478943
0,18,152,7,154,1.1243572235107422,10,1,153,1.2035568952560425,7,154,1.1243572235107422
0,19,154,4,4,0.6592272520065308,10,4,4,0.6592272520065308
1,0,48,6,45,1.0768659114837646,10,4,44,1.1489909887313843,6,45,1.0768659114837646
1,1,45,6,43,1.413695216178894,10,1,42,1.4314956665039062,5,41,1.3741477727890015,6,43,1.413695216178894
1,2,43,0,37,1.0858242511749268,10,6,38,1.1374478340148926,0,37,1.0858242511749268
1,3,37,0,39,1.106092095375061,10,2,40,1.095751166343689,0,39,1.106092095375061
1,4,39,6,75,1.1170120239257812,10,6,75,1.1170120239257812,0,74,1.0336177349090576
1,5,75,6,310,1.1000347137451172,10,4,309,1.1221867799758911,6,310,1.1000347137451172
1,6,310,6,237,1.1398954391479492,10,6,237,1.1398954391479492,0,236,1.0736974477767944
1,7,237,6,233,1.1482858657836914,10,4,232,1.1117043495178223,6,233,1.1482858657836914
1,8,233,6,234,1.073162317276001,10,3,235,1.0749043226242065,6,234,1.073162317276001
1,9,234,7,200,0.6783682107925415,10,7,200,0.6783682107925415
1,10,200,7,208,1.1223478317260742,10,1,209,1.1979656219482422,7,208,1.1223478317260742
1,11,208,7,145,1.0666557550430298,10,1,144,1.1465344429016113,7,145,1.0666557550430298
1,12,145,7,146,1.1023085117340088,10,5,147,1.1167449951171875,7,146,1.1023085117340088
1,13,146,7,148,0.6932165622711182,10,7,148,0.6932165622711182
1,14,148,7,227,0.7008936405181885,10,7,227,0.7008936405181885
1,15,227,7,151,1.3697047233581543,10,1,149,1.4747072458267212,5,150,1.3638179302215576,7,151,1.3697047233581543
