Test Trajectory,Test Trajectory Timestep,Learner Trajectory,Learner Trajectory Timestep,Test Actions,Learner Actions,Test Rewards,Learner Rewards,Test Return,Learner Return
19_24_348_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,19_24_349_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,1_0_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,1_1_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,1.1455215215682983_0.9951280355453491_0.7192162275314331_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,1.1455215215682983_1.1326086521148682_1.1047539710998535_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,20.196924149990082,21.40871089696884
48_45_43_37_39_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,48_45_42_47_355_20_23_73_22_329_88_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_0_0_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_1_1_1_2_2_2_2_2_4_N/A_7_7_0_0_6_6_6_7_7_7_7_7_7_7_7_7_4,1.0768659114837646_1.413695216178894_1.0858242511749268_1.106092095375061_1.1170120239257812_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,1.0768659114837646_1.4314956665039062_1.4613486528396606_0.7343363165855408_1.0479120016098022_0.706356406211853_0.6979047060012817_1.1402910947799683_0.678702175617218_1.0978668928146362_N/A_1.106506586074829_1.076805591583252_1.3622522354125977_1.1053211688995361_1.1106904745101929_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,19.47897630929947,27.274212539196014
52_360_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,10,52_360_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,10,7_7_7_7_0_0_6_6_6_7_7_7_7_7_7_7_7_7_4,7_7_7_7_0_0_6_6_6_7_7_7_7_7_7_7_7_7_4,1.0324097871780396_1.0877339839935303_1.106506586074829_1.076805591583252_1.3622522354125977_1.1053211688995361_1.1106904745101929_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,1.0324097871780396_1.0877339839935303_1.106506586074829_1.076805591583252_1.3622522354125977_1.1053211688995361_1.1106904745101929_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,19.321276485919952,19.321276485919952
75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_7_7_7_7_7_7_7_7_7_4,1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,13.679486811161041,13.679486811161041
77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,11,77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,11,6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,1.1356067657470703_1.0995838642120361_1.1394622325897217_1.1487038135528564_1.073228359222412_0.6774454116821289_1.1224772930145264_1.0676302909851074_1.099376916885376_0.6935321092605591_0.7022547721862793_1.366466999053955_0.7017669081687927_1.1237376928329468_0.6602702736854553,1.1356067657470703_1.0995838642120361_1.1394622325897217_1.1487038135528564_1.073228359222412_0.6774454116821289_1.1224772930145264_1.0676302909851074_1.099376916885376_0.6935321092605591_0.7022547721862793_1.366466999053955_0.7017669081687927_1.1237376928329468_0.6602702736854553,14.811543703079224,14.811543703079224
85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,19.12535685300827,19.12535685300827
91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,20.22447842359543,20.22447842359543
93_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,13,93_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,13,6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,1.4187805652618408_1.1357767581939697_1.099371075630188_1.1396753787994385_1.148545265197754_1.0730907917022705_0.6773948669433594_1.1206339597702026_1.0683958530426025_1.1003620624542236_0.6932689547538757_0.7022014856338501_1.367689847946167_0.6999859809875488_1.1246604919433594_0.6604394316673279,1.4187805652618408_1.1357767581939697_1.099371075630188_1.1396753787994385_1.148545265197754_1.0730907917022705_0.6773948669433594_1.1206339597702026_1.0683958530426025_1.1003620624542236_0.6932689547538757_0.7022014856338501_1.367689847946167_0.6999859809875488_1.1246604919433594_0.6604394316673279,16.23027276992798,16.23027276992798
94_310_237_233_234_200_208_145_146_148_227_151_152_154_4,12,94_310_237_233_234_200_208_145_146_148_227_151_152_154_4,12,6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_7_7_7_7_7_7_7_7_7_4,1.08407461643219_1.1395634412765503_1.1483113765716553_1.0733503103256226_0.6783574223518372_1.1214118003845215_1.0670502185821533_1.100416660308838_0.693080484867096_0.7033122181892395_1.3683651685714722_0.6996013522148132_1.124656081199646_0.6600536704063416,1.08407461643219_1.1395634412765503_1.1483113765716553_1.0733503103256226_0.6783574223518372_1.1214118003845215_1.0670502185821533_1.100416660308838_0.693080484867096_0.7033122181892395_1.3683651685714722_0.6996013522148132_1.124656081199646_0.6600536704063416,13.661604821681976,13.661604821681976
280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,23.192625761032104,23.192625761032104
